nom,rfc,dit,noc,cbo,folder_name
4.0000,10.0000,0.0000,0.0000,0.0000,Gadgetbridge
3.0000,5.0000,0.0000,4.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
4.0000,27.0000,1.0000,0.0000,2.0000,Gadgetbridge
1.0000,1.0000,1.0000,0.0000,0.0000,Gadgetbridge
4.0000,4.0000,1.0000,0.0000,0.0000,Gadgetbridge
3.0000,27.0000,1.0000,0.0000,2.0000,Gadgetbridge
15.0000,15.0000,2.0000,0.0000,0.0000,Gadgetbridge
61.0000,304.0000,4.0000,0.0000,13.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
13.0000,29.0000,0.0000,3.0000,1.0000,Gadgetbridge
2.0000,2.0000,0.0000,0.0000,0.0000,Gadgetbridge
1.0000,19.0000,0.0000,0.0000,0.0000,Gadgetbridge
4.0000,18.0000,1.0000,0.0000,4.0000,Gadgetbridge
1.0000,2.0000,6.0000,0.0000,1.0000,Gadgetbridge
38.0000,153.0000,4.0000,0.0000,11.0000,Gadgetbridge
3.0000,11.0000,3.0000,0.0000,3.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
8.0000,36.0000,1.0000,0.0000,3.0000,Gadgetbridge
18.0000,24.0000,4.0000,0.0000,2.0000,Gadgetbridge
1.0000,2.0000,0.0000,3.0000,0.0000,Gadgetbridge
13.0000,33.0000,1.0000,2.0000,1.0000,Gadgetbridge
3.0000,6.0000,1.0000,2.0000,3.0000,Gadgetbridge
15.0000,26.0000,0.0000,3.0000,1.0000,Gadgetbridge
5.0000,20.0000,1.0000,0.0000,2.0000,Gadgetbridge
2.0000,5.0000,3.0000,0.0000,1.0000,Gadgetbridge
9.0000,26.0000,1.0000,2.0000,1.0000,Gadgetbridge
14.0000,58.0000,1.0000,0.0000,1.0000,Gadgetbridge
4.0000,11.0000,2.0000,0.0000,4.0000,Gadgetbridge
4.0000,11.0000,2.0000,0.0000,4.0000,Gadgetbridge
5.0000,15.0000,2.0000,0.0000,4.0000,Gadgetbridge
5.0000,10.0000,2.0000,0.0000,1.0000,Gadgetbridge
5.0000,10.0000,2.0000,0.0000,1.0000,Gadgetbridge
91.0000,270.0000,4.0000,0.0000,27.0000,Gadgetbridge
3.0000,6.0000,1.0000,0.0000,0.0000,Gadgetbridge
3.0000,3.0000,0.0000,3.0000,0.0000,Gadgetbridge
11.0000,30.0000,0.0000,0.0000,1.0000,Gadgetbridge
6.0000,19.0000,2.0000,0.0000,2.0000,Gadgetbridge
6.0000,26.0000,1.0000,0.0000,4.0000,Gadgetbridge
6.0000,6.0000,1.0000,1.0000,0.0000,Gadgetbridge
2.0000,5.0000,1.0000,2.0000,2.0000,Gadgetbridge
6.0000,6.0000,2.0000,1.0000,0.0000,Gadgetbridge
11.0000,79.0000,2.0000,0.0000,9.0000,Gadgetbridge
9.0000,30.0000,0.0000,0.0000,1.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
6.0000,15.0000,0.0000,2.0000,3.0000,Gadgetbridge
1.0000,2.0000,2.0000,0.0000,1.0000,Gadgetbridge
4.0000,20.0000,1.0000,0.0000,1.0000,Gadgetbridge
4.0000,9.0000,1.0000,0.0000,1.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
13.0000,67.0000,2.0000,0.0000,8.0000,Gadgetbridge
2.0000,2.0000,3.0000,2.0000,0.0000,Gadgetbridge
6.0000,15.0000,1.0000,0.0000,2.0000,Gadgetbridge
4.0000,16.0000,1.0000,0.0000,4.0000,Gadgetbridge
5.0000,21.0000,2.0000,1.0000,4.0000,Gadgetbridge
5.0000,26.0000,3.0000,1.0000,8.0000,Gadgetbridge
102.0000,608.0000,4.0000,1.0000,37.0000,Gadgetbridge
2.0000,5.0000,3.0000,0.0000,1.0000,Gadgetbridge
14.0000,53.0000,4.0000,3.0000,6.0000,Gadgetbridge
10.0000,45.0000,5.0000,0.0000,7.0000,Gadgetbridge
8.0000,21.0000,5.0000,0.0000,4.0000,Gadgetbridge
9.0000,52.0000,2.0000,0.0000,5.0000,Gadgetbridge
14.0000,102.0000,4.0000,0.0000,9.0000,Gadgetbridge
42.0000,214.0000,4.0000,0.0000,16.0000,Gadgetbridge
6.0000,6.0000,0.0000,10.0000,0.0000,Gadgetbridge
3.0000,3.0000,1.0000,0.0000,0.0000,Gadgetbridge
3.0000,3.0000,1.0000,0.0000,0.0000,Gadgetbridge
2.0000,2.0000,1.0000,0.0000,0.0000,Gadgetbridge
4.0000,4.0000,1.0000,0.0000,0.0000,Gadgetbridge
4.0000,4.0000,1.0000,0.0000,0.0000,Gadgetbridge
5.0000,5.0000,1.0000,0.0000,0.0000,Gadgetbridge
3.0000,3.0000,1.0000,0.0000,0.0000,Gadgetbridge
4.0000,4.0000,1.0000,0.0000,0.0000,Gadgetbridge
4.0000,4.0000,1.0000,0.0000,0.0000,Gadgetbridge
4.0000,4.0000,1.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,2.0000,0.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
1.0000,1.0000,2.0000,0.0000,0.0000,Gadgetbridge
2.0000,2.0000,2.0000,0.0000,0.0000,Gadgetbridge
2.0000,2.0000,2.0000,0.0000,0.0000,Gadgetbridge
2.0000,2.0000,2.0000,0.0000,0.0000,Gadgetbridge
1.0000,1.0000,1.0000,4.0000,0.0000,Gadgetbridge
13.0000,13.0000,2.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
1.0000,1.0000,0.0000,0.0000,0.0000,Gadgetbridge
55.0000,437.0000,1.0000,0.0000,27.0000,Gadgetbridge
21.0000,60.0000,4.0000,0.0000,8.0000,Gadgetbridge
12.0000,12.0000,1.0000,0.0000,0.0000,Gadgetbridge
8.0000,8.0000,1.0000,0.0000,0.0000,Gadgetbridge
2.0000,8.0000,1.0000,0.0000,1.0000,Gadgetbridge
3.0000,20.0000,0.0000,0.0000,2.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
2.0000,4.0000,1.0000,0.0000,1.0000,Gadgetbridge
8.0000,22.0000,1.0000,0.0000,2.0000,Gadgetbridge
13.0000,38.0000,0.0000,0.0000,4.0000,Gadgetbridge
39.0000,81.0000,4.0000,0.0000,10.0000,Gadgetbridge
1.0000,4.0000,1.0000,0.0000,1.0000,Gadgetbridge
2.0000,6.0000,1.0000,0.0000,1.0000,Gadgetbridge
31.0000,125.0000,3.0000,2.0000,6.0000,Gadgetbridge
7.0000,11.0000,1.0000,3.0000,0.0000,Gadgetbridge
27.0000,29.0000,0.0000,2.0000,0.0000,Gadgetbridge
7.0000,9.0000,0.0000,0.0000,0.0000,Gadgetbridge
3.0000,4.0000,0.0000,0.0000,0.0000,Gadgetbridge
1.0000,1.0000,0.0000,0.0000,0.0000,Gadgetbridge
4.0000,6.0000,0.0000,0.0000,0.0000,Gadgetbridge
11.0000,14.0000,0.0000,0.0000,0.0000,Gadgetbridge
15.0000,43.0000,0.0000,0.0000,5.0000,Gadgetbridge
12.0000,18.0000,0.0000,0.0000,2.0000,Gadgetbridge
25.0000,71.0000,0.0000,0.0000,7.0000,Gadgetbridge
6.0000,23.0000,0.0000,0.0000,2.0000,Gadgetbridge
4.0000,18.0000,0.0000,0.0000,1.0000,Gadgetbridge
1.0000,1.0000,0.0000,0.0000,0.0000,Gadgetbridge
4.0000,8.0000,0.0000,0.0000,1.0000,Gadgetbridge
